proper	frequency
achaeans	604
trojans	561
jove	526
hector	451
achilles	402
heaven	318
minerva	311
agamemnon	238
telemachus	215
menelaus	208
priam	194
ulysses	194
patroclus	181
apollo	169
atreus	151
troy	147
ajax	145
peleus	143
argives	135
king	135
mars	131
juno	130
nestor	125
neptune	122
danaans	120
penelope	110
ithaca	98
olympus	97
tydeus	97
diomed	95
ilius	95
aeneas	91
saturn	91
idomeneus	86
eumaeus	77
hades	77
trojan	71
helen	66
antilochus	63
vulcan	60
phaeacians	54
pylos	52
argos	51
sarpedon	49
thetis	49
mercury	48
alexandrus	47
father	47
ida	47
laertes	47
telamon	47
venus	47
circe	44
sir	43
son	43
meriones	39
lycians	36
myrmidons	36
phoebus	36
thereon	36
iris	35
oceanus	34
euryclea	33
menoetius	33
polydamas	31
diana	30
ajaxes	29
neleus	29
teucer	29
calypso	28
dawn	28
antinous	27
stranger	26
deiphobus	25
aegisthus	24
antenor	23
glaucus	23
pisistratus	23
pallas	22
paris	22
aeacus	21
automedon	21
lycaon	21
oileus	21
alcinous	20
lycia	20
xanthus	19
eurypylus	18
idaeus	18
mt.	18
phthia	18
achaean	17
asius	17
eurymachus	17
gerene	17
hercules	17
melanthius	17
thebes	17
crete	16
demodocus	16
machaon	16
medon	16
scylla	16
teiresias	16
west	16
agenor	15
autolycus	15
cyclops	15
dardanus	15
epeans	15
lacedaemon	15
leto	15
madam	15
queen	15
thoas	15
bellerophon	14
dulichium	14
lemnos	14
mentor	14
nausicaa	14
panthous	14
phoenix	14
scamander	14
arete	13
argus	13
briseis	13
eurylochus	13
irus	13
philoetius	13
proserpine	13
theoclymenus	13
asteropaeus	12
cretans	12
cyclopes	12
danaan	12
dardanians	12
dolius	12
dolon	12
euryalus	12
eurynome	12
helenus	12
laomedon	12
pisander	12
polybus	12
acamas	11
aetolians	11
amphinomus	11
anchises	11
argive	11
eetion	11
egypt	11
elis	11
eumelus	11
hellespont	11
oeneus	11
phyleus	11
agelaus	10
antiphus	10
hippolochus	10
icarius	10
laodamas	10
olympian	10
pandarus	10
thracians	10
tlepolemus	10
actor	9
aeolus	9
cebriones	9
euphorbus	9
iphitus	9
phemius	9
sirens	9
thrice	9
adrestus	8
andromache	8
boreas	8
chromius	8
cicons	8
east	8
hecuba	8
meges	8
melanippus	8
minos	8
pedasus	8
peneleos	8
piraeus	8
pylians	8
south	8
sparta	8
alpheus	7
amphimachus	7
antiphates	7
boeotians	7
calchas	7
capaneus	7
charybdis	7
clytius	7
epeus	7
hellas	7
hyrtacus	7
mecisteus	7
menestheus	7
mount	7
noman	7
polyphemus	7
protesilaus	7
same	7
simois	7
sthenelus	7
suitors	7
talthybius	7
thrace	7
thrasymedes	7
tros	7
well-	7
aegis-	6
aesculapius	6
alcimedon	6
amphimedon	6
athens	6
cephallenians	6
chryses	6
cyprus	6
deucalion	6
egyptians	6
ephyra	6
erebus	6
euaemon	6
eupeithes	6
eurytus	6
forthwith	6
goddess	6
lampus	6
lycurgus	6
meleager	6
mycenae	6
mycene	6
noemon	6
north	6
orestes	6
panic	6
percote	6
pergamus	6
peteos	6
phorcys	6
phylace	6
pirithous	6
polypoetes	6
rout	6
samos	6
theban	6
thoon	6
zacynthus	6
adamas	5
alcmena	5
andraemon	5
areithous	5
aretus	5
ascalaphus	5
athenians	5
bacchus	5
battle--	5
calydon	5
ceres	5
chryse	5
chryseis	5
curetes	5
deipyrus	5
dodona	5
eteoneus	5
ethiopians	5
eurystheus	5
far-	5
god	5
graces	5
hippasus	5
jason	5
leitus	5
leonteus	5
lesbos	5
locrians	5
lycomedes	5
lyrnessus	5
megapenthes	5
mother	5
muses	5
mysians	5
neritum	5
orchomenus	5
ormenus	5
orsilochus	5
paeeon	5
parnassus	5
perseus	5
pherae	5
phrygia	5
polites	5
polydorus	5
pontonous	5
rhesus	5
socus	5
strife	5
sun	5
thesprotians	5
whereon	5
admetus	4
aesopus	4
alastor	4
alcimus	4
amphitrite	4
anchialus	4
arceisius	4
arisbe	4
axius	4
brave	4
buprasium	4
cadmeans	4
chalcis	4
chiron	4
clytemnestra	4
ctesippus	4
cyprian	4
cythera	4
damastor	4
diocles	4
diores	4
directions--	4
dread	4
echius	4
euboea	4
eurybates	4
eurymedon	4
first	4
hebe	4
hiketaon	4
him--	4
house	4
hush	4
hyperion	4
iasus	4
imbrius	4
imbrus	4
ino	4
iphidamas	4
laodice	4
lotus-	4
mentes	4
mighty	4
mulius	4
nausithous	4
niobe	4
panopeus	4
phoceans	4
phoenicians	4
phylacus	4
pisenor	4
pleuron	4
proetus	4
proteus	4
pytho	4
scheria	4
selleis	4
sleep	4
styx	4
taphians	4
theano	4
thebe	4
themis	4
thence	4
thestor	4
trito-	4
troy--	4
zephyrus	4
abantes	3
abydos	3
achaeans--	3
aegae	3
alcathous	3
aloeus	3
amphion	3
amphitryon	3
antimachus	3
aphareus	3
astyanax	3
atlas	3
