noun	verb	frequency
he	was	484
he	had	360
you	are	322
i	am	294
it	is	263
i	have	247
you	have	246
he	is	223
it	was	183
they	were	180
they	had	171
i	was	149
he	has	127
he	spoke	123
he	said	106
they	are	102
i	had	91
he	went	81
he	fell	80
we	have	78
he	did	74
she	had	74
you	were	74
she	was	70
they	have	67
he	took	66
i	do	63
he	saw	59
we	are	54
i	know	48
we	had	48
i	saw	45
i	were	44
he	came	43
he	made	43
we	were	43
i	say	42
she	went	42
he	were	41
they	went	39
you	had	38
he	speak	37
they	took	36
he	gave	35
heaven	has	35
it	had	35
they	came	34
he	stood	33
i	see	33
she	said	33
achaeans	were	32
she	is	32
they	did	32
he	heard	31
he	set	31
you	do	31
it	were	30
they	saw	30
ulysses	was	30
you	know	30
he	left	29
they	made	29
it	be	27
jove	has	26
she	spoke	26
you	come	26
you	go	26
ulysses	answered	25
they	heard	24
it	has	23
he	be	22
he	sent	22
i	said	22
man	is	22
gods	are	21
they	set	21
he	got	20
i	go	20
i	took	20
i	went	20
she	has	20
she	took	20
he	told	19
minerva	had	19
spear	went	19
achaeans	are	18
gods	have	18
he	found	18
he	lay	18
him	saying	18
i	take	18
men	are	18
they	say	18
they	stood	18
you	be	18
you	say	18
he	held	17
he	killed	17
i	did	17
i	tell	17
men	were	17
she	came	17
he	knew	16
he	let	16
i	made	16
she	found	16
trojans	were	16
hector	was	15
it	came	15
jove	had	15
man	had	15
we	know	15
you	get	15
he	kept	14
i	came	14
i	heard	14
i	left	14
jove	is	14
us	go	14
we	went	14
you	take	14
achilles	had	13
him	go	13
ulysses	said	13
us	be	13
we	got	13
achilles	answered	12
achilles	is	12
achilles	was	12
he	brought	12
he	comes	12
heart	was	12
i	come	12
jove	was	12
man	has	12
minerva	came	12
she	did	12
she	made	12
they	fell	12
they	fought	12
they	found	12
they	got	12
ulysses	is	12
you	saw	12
achaeans	had	11
father	is	11
god	had	11
he	says	11
i	gave	11
i	got	11
minerva	said	11
she	saw	11
she	stood	11
telemachus	said	11
they	do	11
ulysses	had	11
we	came	11
we	do	11
you	see	11
god	has	10
hand	fight	10
horses	were	10
i	told	10
man	was	10
me	go	10
she	heard	10
she	set	10
you	did	10
hector	is	9
i	sent	9
minerva	went	9
she	gave	9
she	told	9
they	brought	9
they	know	9
they	left	9
trojans	are	9
you	answered	9
you	keep	9
you	leave	9
you	left	9
achaeans	have	8
father	was	8
gods	had	8
heaven	had	8
hector	saw	8
him	were	8
i	give	8
i	knew	8
i	make	8
minerva	answered	8
people	are	8
people	have	8
she	bore	8
she	fell	8
telemachus	answered	8
telemachus	went	8
