unigram	frequency
throw	36
captain	36
eating	36
need	36
outer	36
aimed	36
boar	36
hearts	36
string	36
reins	36
lycians	36
blessed	36
shields	36
handed	36
whereas	35
dwell	35
driving	35
hereafter	35
aim	35
broad	35
calypso	35
huge	35
meal	35
mules	35
flesh	35
next	35
pigs	35
poured	34
alike	34
orders	34
breast	34
pain	34
lives	34
protect	34
manner	34
euryclea	34
suffered	34
wealth	34
saved	34
guest	34
become	34
furiously	34
mixing	33
wicked	33
wanted	33
gleaming	33
mankind	33
nurse	33
oath	33
mean	33
menoetius	33
heavy	33
mountains	32
borne	32
perish	32
polydamas	32
closed	32
blow	32
mouth	32
fiercely	32
ajaxes	32
oxen	32
yoke	32
sacked	32
slew	32
sorry	32
knight	32
deemed	32
fetch	32
thrice	32
waiting	32
ox	32
half	32
property	31
holding	31
hung	31
worse	31
makes	31
bringing	31
beautiful	31
harm	31
cities	31
praying	31
hounds	31
case	31
allies	31
forest	31
bravest	31
peer	31
heads	30
third	30
shed	30
smote	30
forget	30
past	30
beauty	30
news	30
times	30
diana	30
triumph	30
feast	30
fill	30
number	30
knows	30
thrown	30
proud	30
means	30
less	30
respect	30
fled	30
warriors	30
air	30
soul	30
brothers	30
loved	29
groaning	29
person	29
fresh	29
rocks	29
bodies	29
wide	29
free	29
wise	29
neleus	29
toil	29
appeared	29
safely	29
perished	29
defend	29
burning	29
bowl	29
armed	29
asked	29
wrought	29
eurymachus	29
squire	29
converse	29
barley	29
piece	29
spread	29
share	29
swear	29
married	29
haste	28
clouds	28
revenge	28
waggon	28
combat	28
belly	28
hurled	28
crowd	28
lot	28
pay	28
sleeping	28
tore	28
greatly	28
keeping	28
quarrel	28
placed	28
clear	28
sack	28
amid	28
seven	28
vouchsafe	28
crying	28
flocks	27
limbs	27
grey	27
shepherd	27
quick	27
follow	27
mast	27
goes	27
clad	27
doom	27
often	27
sailed	27
fifty	27
aside	27
died	27
heed	27
valour	27
firm	27
mine	27
broken	27
speaking	27
shame	27
easily	27
tramp	27
estate	27
turning	26
form	26
win	26
order	26
fingered	26
wrong	26
stones	26
bard	26
rosy	26
pair	26
warrior	26
foe	26
ghosts	26
welcome	26
sake	26
heifer	26
presence	26
message	26
question	25
six	25
thinking	25
bird	25
ear	25
happened	25
aegisthus	25
deiphobus	25
eager	25
pleased	25
sad	25
reason	25
pierced	25
double	25
trees	25
threshold	25
slay	25
sign	25
remember	25
west	25
whip	25
chieftains	25
visit	25
post	25
leaves	25
embrace	24
seems	24
sing	24
antenor	24
understanding	24
fail	24
stripped	24
chase	24
midst	24
certain	24
eye	24
second	24
around	24
honoured	24
lead	24
hundred	24
truly	24
space	24
dismay	24
hercules	24
corn	24
avenge	24
guard	24
goddesses	24
gather	24
safe	24
suffer	24
lashed	24
ghost	24
mixed	23
likeness	23
begin	23
murderous	23
cross	23
thither	23
dream	23
tried	23
xanthus	23
bidding	23
melanthius	23
ones	23
loss	23
beginning	23
seized	23
harbour	23
unhappy	23
line	23
became	23
wave	23
returned	23
dread	23
fool	23
law	23
slept	23
glaucus	23
guests	23
youth	23
strip	23
received	23
sails	23
breath	23
ears	23
captains	23
escort	23
use	23
cease	23
paris	23
vouchsafed	23
gladly	23
lyre	23
spirit	23
singing	23
press	23
remain	23
treasure	23
folly	23
pisistratus	23
ways	22
automedon	22
hour	22
raft	22
flames	22
purpose	22
pass	22
aloof	22
deal	22
mortals	22
speech	22
hosts	22
rout	22
funeral	22
prowess	22
grew	22
whatever	22
oil	22
pyre	22
desire	22
uproar	22
divided	22
setting	22
tongue	22
lightning	22
grow	22
counsels	22
minds	22
prizes	22
oak	22
self	22
roused	22
join	22
pallas	22
sorrows	22
consider	22
company	22
takes	22
judgement	21
aeacus	21
seem	21
public	21
red	21
seated	21
birds	21
cloisters	21
daring	21
opened	21
greater	21
cast	21
savage	21
short	21
bosom	21
hecatombs	21
thunder	21
oileus	21
lambs	21
labour	21
mad	21
promise	21
distress	21
please	21
sweat	21
raise	21
really	21
missed	21
lycaon	21
unless	21
sceptre	21
moved	21
dwelt	21
family	21
eagle	21
rushed	21
busy	21
grasped	21
mentor	21
lose	21
apart	21
charioteer	21
chiefs	21
understand	21
vultures	21
storm	21
rain	21
food	20
bone	20
dragging	20
driver	20
joined	20
solemn	20
banks	20
meats	20
spoils	20
says	20
showed	20
rebuked	20
keen	20
marriage	20
pressed	20
warm	20
tale	20
absence	20
car	20
stern	20
famous	20
disposed	20
lands	20
enemy	20
eaten	20
mark	20
tear	20
heavens	20
promised	20
lycia	20
darted	20
headlong	20
glorious	20
burned	20
ruin	20
comely	20
besought	20
drawn	20
cuirass	20
strangers	20
youths	20
banquet	19
drunk	19
messenger	19
staff	19
soldiers	19
earthquake	19
anointed	19
served	19
watch	19
robbed	19
questions	19
nymphs	19
beach	19
yield	19
prove	19
