noun	frequency
son	1235
man	762
men	696
ulysses	531
house	530
ships	516
gods	419
spear	417
father	400
hand	353
people	341
hands	328
way	318
horses	308
sea	303
ship	294
city	286
one	255
ground	250
armour	248
day	240
suitors	235
body	233
heart	232
battle	231
head	226
time	216
others	205
mother	199
sons	197
side	195
god	191
chariot	181
death	175
fight	168
daughter	166
end	157
eyes	157
shield	157
wine	157
fire	155
nothing	155
wife	154
land	153
place	151
water	151
women	149
night	145
wall	142
blood	135
king	132
words	129
bronze	127
country	126
feet	123
river	121
earth	120
wind	120
bow	119
mind	117
host	115
life	113
goddess	112
home	112
friends	111
gold	108
things	106
woman	105
town	102
strength	101
bed	99
sheep	99
sword	97
child	96
room	94
fleet	92
husband	92
arrow	91
seat	90
sun	90
cry	86
gates	86
helmet	86
comrades	85
front	85
morning	84
shoulders	84
spears	83
face	82
foot	81
part	81
servants	81
war	81
fighting	80
fear	79
rest	79
sorrow	79
honour	78
whereon	75
darkness	74
days	74
comrade	73
anger	72
matter	72
none	72
point	72
sleep	72
moment	70
dust	69
brother	67
children	67
island	67
voice	67
name	66
counsel	65
knees	65
lord	65
middle	65
shore	65
stranger	65
arms	64
friend	64
tears	64
hold	63
top	62
work	62
board	61
servant	61
stone	61
will	61
world	61
cattle	60
glory	60
mountain	60
light	59
waters	59
fury	58
ranks	58
swineherd	57
court	56
dogs	56
everything	56
master	56
neck	56
word	56
tent	54
heroes	53
lion	53
meat	53
return	53
hero	52
hither	52
immortals	52
peace	51
destruction	50
field	50
maids	50
shirt	50
shoulder	50
something	50
back	49
chest	49
waves	49
assembly	48
cloud	48
cup	48
dinner	48
presents	48
thing	48
victory	48
achilles	47
bones	47
grief	47
kind	47
telemachus	47
tents	47
chariots	46
crew	46
door	46
pieces	46
anything	45
clothes	45
course	45
fellow	45
might	45
offerings	45
princes	45
prize	45
trouble	45
cave	44
force	44
hair	44
iron	44
prayer	44
sight	44
wives	44
years	44
arrows	43
bread	43
gifts	43
goats	43
supper	43
care	42
parents	42
places	42
table	42
trench	42
truth	42
cloister	41
fate	41
wood	41
wound	41
stream	40
winds	40
cloak	39
horse	39
plain	39
silver	39
year	39
courage	38
daughters	38
mischief	38
rock	38
saying	38
walls	38
council	37
doors	37
girl	37
rage	37
round	37
seats	37
speed	37
boar	36
hector	36
shields	36
spite	36
story	36
age	35
captain	35
flesh	35
flight	35
hearts	35
mules	35
present	35
race	35
reins	35
skin	35
steeds	35
tree	35
breast	34
forthwith	34
manner	34
orders	34
pigs	34
pity	34
sacrifice	34
wealth	34
meal	33
pain	33
voyage	33
aim	32
mankind	32
mouth	32
offering	32
allies	31
forest	31
knight	31
oxen	31
ransom	31
sir	31
store	31
air	30
case	30
cities	30
guest	30
heads	30
hounds	30
news	30
number	30
oath	30
property	30
soul	30
times	30
while	30
beauty	29
bodies	29
bowl	29
mountains	29
peer	29
piece	29
rocks	29
thought	29
warriors	29
answer	28
belly	28
charge	28
clouds	28
combat	28
evil	28
help	28
lot	28
person	28
toil	28
doom	27
estate	27
limbs	27
panic	27
revenge	27
thigh	27
tramp	27
triumph	27
waggon	27
brothers	26
flocks	26
haste	26
heifer	26
mast	26
pair	26
presence	26
sake	26
shepherd	26
sound	26
stones	26
cover	25
crowd	25
foe	25
ghosts	25
harm	25
hope	25
love	25
message	25
post	25
reason	25
sign	25
threshold	25
warrior	25
arm	24
bird	24
chieftains	24
ear	24
feast	24
ghost	24
hide	24
midst	24
shame	24
trees	24
turn	24
valour	24
whip	24
breath	23
ears	23
fat	23
fool	23
