adjective	frequency
own	539
great	462
other	442
good	298
many	272
old	259
full	181
such	173
much	169
dead	168
noble	160
brave	156
fair	143
strong	138
mighty	127
best	124
young	122
high	121
more	121
whole	118
angry	114
first	113
long	112
dear	106
better	97
alive	83
right	83
little	81
golden	75
rich	75
close	73
thick	73
poor	71
same	70
plain	69
true	66
immortal	64
last	63
dark	61
glad	60
ready	59
sure	58
valiant	55
hard	54
loud	51
bad	49
fierce	49
fine	49
excellent	48
afraid	47
deep	47
large	47
able	46
wild	45
mortal	44
single	43
alcinous	42
clean	41
terrible	41
cruel	39
drink-	39
stronger	39
enough	38
low	38
furious	37
lovely	37
main	37
open	37
white	37
sweet	36
black	35
due	35
huge	35
outer	35
very	33
wicked	33
antinous	32
broad	32
heavy	32
beautiful	31
bravest	31
minded	31
cunning	30
sorry	30
worse	30
wise	29
achaean	28
clear	28
foremost	28
ill	28
only	28
proud	28
sea-	28
vain	28
evil	27
firm	27
fresh	27
round	27
quick	26
silver	26
third	26
alone	25
chief	25
sad	25
certain	24
eager	24
front	24
safe	24
murderous	23
unhappy	23
double	21
free	21
further	21
greater	21
mad	21
red	21
second	21
famous	20
glorious	20
keen	20
solemn	20
fast	19
fat	19
fond	19
grey	19
mixing-	19
public	19
small	19
busy	18
common	18
finest	18
inner	18
likely	18
older	18
redoubtable	18
skilled	18
topmost	18
upper	18
younger	18
most	17
next	17
short	17
warm	17
asleep	16
bearing-	16
deadly	16
foreign	16
fourth	16
goodly	16
left	16
near	16
present	16
soft	16
straight	16
utmost	16
aloof	15
armed	15
awful	15
holy	15
kind	15
pleased	15
sharp	15
sheer	15
tired	15
about	14
ajax	14
blood-	14
bold	14
cold	14
dry	14
equal	14
fertile	14
fit	14
mere	14
miserable	14
reasonable	14
several	14
to-	14
ashamed	13
bitter	13
comely	13
dense	13
disposed	13
distant	13
famed	13
far	13
loth	13
narrow	13
new	13
tall	13
tenth	13
wet	13
false	12
few	12
gold	12
happy	12
hearted	12
human	12
in-	12
maid	12
pale	12
satisfied	12
scaean	12
sturdy	12
weary	12
welcome	12
wide	12
blessed	11
divine	11
hot	11
inward	11
less	11
light	11
lofty	11
longer	11
pure	11
thankful	11
wooded	11
brawny	10
dearest	10
fairest	10
fearful	10
fragrant	10
green	10
hateful	10
honourable	10
infinite	10
inlaid	10
insolent	10
purple	10
raw	10
splendid	10
thigh-	10
upright	10
willing	10
youngest	10
ambrosial	9
behold	9
bent	9
blind	9
blue	9
comfortable	9
daring	9
displeased	9
drunk	9
everlasting	9
extreme	9
flat	9
larger	9
least	9
native	9
powerful	9
proper	9
rocky	9
rough	9
rugged	9
sacred	9
sick	9
stout	9
taller	9
unseemly	9
well-	9
wondrous	9
bright	8
countless	8
dazed	8
early	8
eldest	8
empty	8
eyed	8
flaming	8
haired	8
imperishable	8
lower	8
lycian	8
mid-	8
monstrous	8
pell-	8
possible	8
precious	8
royal	8
silly	8
skilful	8
store-	8
twisted	8
uprose	8
vast	8
victorious	8
woollen	8
worth	8
barley-	7
big	7
bloody	7
bronze-	7
dreadful	7
fifth	7
foolish	7
godlike	7
grim	7
handed	7
handsome	7
idle	7
largest	7
leathern	7
magnificent	7
orderly	7
savage	7
seventh	7
shrill	7
silent	7
smooth	7
snowy	7
sound	7
squire	7
stalwart	7
staunch	7
sudden	7
sun-	7
thracian	7
unweariable	7
usual	7
weak	7
well	7
worst	7
wrong	7
aegis-	6
all-	6
anxious	6
beggar	6
collar-	6
crafty	6
different	6
earth-	6
fain	6
fallow	6
feeble	6
fewer	6
former	6
foul	6
funeral	6
greatest	6
heavenly	6
intolerable	6
jagged	6
lame	6
lusty	6
middle	6
north	6
phaeacian	6
pitiable	6
pointed	6
prodigious	6
quiet	6
rare	6
real	6
remiss	6
respectable	6
self-	6
sensible	6
serious	6
smaller	6
south	6
spacious	6
spear-	6
steep	6
storm-	6
strongest	6
sufficient	6
thickest	6
unable	6
undaunted	6
unharmed	6
unmindful	6
useful	6
west	6
yellow	6
admirable	5
aged	5
amiss	5
awake	5
barren	5
beloved	5
blank	5
bloodstained	5
bridal	5
brilliant	5
confident	5
dardanian	5
dark-	5
delicate	5
delighted	5
diomed	5
dirty	5
disgraceful	5
doubling-	5
doughty	5
easier	5
easy	5
ever-	5
far-	5
favourite	5
friendly	5
grey-	5
half	5
harder	5
hardest	5
highest	5
hippothous	5
hospitable	5
lawful	5
like	5
loveliest	5
mid	5
naked	5
noblest	5
ogygian	5
olive	5
painful	5
piteous	5
shaggy	5
solid	5
sorrowful	5
speechless	5
stately	5
stern	5
strange	5
surprised	5
swift	5
tasselled	5
terrific	5
thin	5
troubled	5
uneasy	5
wakeful	5
wisest	5
acceptable	4
aeaean	4
ancle-	4
armour	4
august	4
bane	4
barbed	4
bare	4
bearded	4
bootless	4
bread-	4
careful	4
choicest	4
consummate	4
curious	4
daily	4
death-	4
desolate	4
dismayed	4
faithful	4
fellow-	4
fiery	4
fleetest	4
foot-	4
fraught	4
frightened	4
full-	4
general	4
graceful	4
hearty	4
heavier	4
hecatomb	4
hideous	4
humane	4
hungry	4
longest	4
luscious	4
melancholy	4
mule	4
nearest	4
opposite	4
ox-	4
past	4
patient	4
pelian	4
pitiless	4
polished	4
pretty	4
private	4
radiant	4
richest	4
righteous	4
rude	4
rulest	4
shrewd	4
sore	4
staid	4
starry	4
stranger	4
strict	4
suppliant	4
swiftest	4
swollen	4
thesprotian	4
