entity	type	frequency
achaeans	ORG	466
jove	PERSON	458
achilles	PERSON	434
hector	ORG	287
minerva	PERSON	277
telemachus	PERSON	251
agamemnon	GPE	232
priam	PERSON	189
argives	ORG	156
troy	PERSON	141
patroclus	ORG	129
atreus	PERSON	127
mars	LOC	127
juno	PERSON	125
apollo	ORG	121
neptune	LOC	113
peleus	PERSON	112
nestor	ORG	104
olympus	PERSON	99
ilius	GPE	92
ithaca	PERSON	88
danaans	PERSON	81
penelope	PERSON	79
tydeus	GPE	78
hades	ORG	74
menelaus	ORG	68
eumaeus	PERSON	62
idomeneus	PERSON	62
helen	PERSON	61
ajax	PERSON	57
vulcan	GPE	57
diomed	PERSON	49
pylos	PERSON	47
laertes	PERSON	46
mercury	ORG	46
sarpedon	PERSON	46
saturn	GPE	46
telamon	ORG	46
thetis	PERSON	46
argos	GPE	45
trojans	ORG	45
trojan	GPE	44
aeneas	GPE	42
ida	PERSON	38
iris	PERSON	38
venus	LOC	35
oceanus	ORG	34
phoebus apollo	ORG	33
euryclea	PERSON	32
menoetius	PERSON	32
polydamas	ORG	31
myrmidons	PERSON	30
neleus	LOC	29
dawn	PERSON	28
diana	PERSON	27
calypso	PERSON	25
deiphobus	GPE	25
antenor	ORG	24
eurymachus	PERSON	24
hercules	GPE	23
pisistratus	GPE	23
pallas minerva	PERSON	22
paris	GPE	22
earth	LOC	22
glaucus	GPE	21
lycia	GPE	20
mentor	ORG	20
aeacus	GPE	19
automedon	PERSON	19
lycaon	PERSON	19
melanthius	GPE	19
xanthus	PERSON	18
cyclops	ORG	17
aegisthus	PERSON	16
alexandrus	PERSON	16
asius	PERSON	16
medon	ORG	16
thebes	PERSON	16
autolycus	GPE	15
circe	GPE	15
crete	ORG	15
dardanus	PERSON	15
demodocus	PERSON	15
gerene	ORG	15
phthia	GPE	15
teiresias	PERSON	15
ulysses	ORG	15
lacedaemon	GPE	14
machaon	ORG	14
mt.	LOC	14
phoenix	GPE	14
scylla	PERSON	14
thoas	PERSON	14
argus	ORG	13
bellerophon	ORG	13
eurylochus	PERSON	13
cebriones	GPE	12
dolon	PERSON	12
helenus	PERSON	12
leto	PERSON	12
nausicaa	PERSON	12
briseis	PERSON	11
danaan	PERSON	11
egypt	GPE	11
elis	GPE	11
hellespont	GPE	11
laomedon	GPE	11
north	PERSON	11
philoetius	PERSON	11
polybus	GPE	11
west	LOC	11
me--	ORG	11
ajaxes	ORG	10
asteropaeus	ORG	10
icarius	GPE	10
pandarus	PERSON	10
sparta	GPE	10
theoclymenus	PERSON	10
agelaus	ORG	9
agenor	ORG	9
amphinomus	ORG	9
dolius	ORG	9
eurypylus	ORG	9
meges	ORG	9
sirens	PERSON	9
thrasymedes	PERSON	9
antinous	PERSON	8
argive	ORG	8
cicons	PERSON	8
euphorbus	ORG	8
hecuba	GPE	8
hellas	GPE	8
iphitus	ORG	8
king apollo	ORG	8
melanippus	PERSON	8
oeneus	PERSON	8
peneleos	ORG	8
phemius	PERSON	8
protesilaus	PERSON	8
talthybius	ORG	8
teucer	PERSON	8
thrice	PERSON	8
tlepolemus	GPE	8
it--	ORG	8
acamas	PERSON	7
adrestus	PERSON	7
andromache	ORG	7
arete	PERSON	7
chromius	ORG	7
hyrtacus	GPE	7
king neptune	ORG	7
laodamas	ORG	7
lycian	GPE	7
mecisteus	ORG	7
noman	PERSON	7
pisander	GPE	7
polyphemus	PERSON	7
queen penelope	PERSON	7
simois	GPE	7
aesculapius	ORG	6
alcimedon	GPE	6
amphimachus	ORG	6
athens	GPE	6
calchas	GPE	6
capaneus	ORG	6
dardanian	PERSON	6
east	LOC	6
eetion	ORG	6
erebus	ORG	6
erinyes	ORG	6
euaemon	ORG	6
lemnos	ORG	6
minos	ORG	6
mycene	PERSON	6
orestes	PERSON	6
orsilochus	ORG	6
pergamus	ORG	6
phylace	PERSON	6
rout	PERSON	6
south	LOC	6
stranger	PERSON	6
zacynthus	PERSON	6
alcmena	ORG	5
amphimedon	PERSON	5
andraemon	ORG	5
antilochus	PERSON	5
antimachus	ORG	5
aretus	ORG	5
ascalaphus	ORG	5
calydon	PERSON	5
ceres	PERSON	5
chryse	PERSON	5
chryseis	PERSON	5
clytius	PERSON	5
dodona	ORG	5
dulichium	GPE	5
eurytus	ORG	5
halitherses	GPE	5
hippasus	PERSON	5
jason	ORG	5
leitus	ORG	5
lesbos	GPE	5
locrians	ORG	5
lycomedes	PERSON	5
megapenthes	ORG	5
noemon	PERSON	5
oileus	GPE	5
olympian jove	PERSON	5
parnassus	ORG	5
phoebus	ORG	5
phrygia	PERSON	5
polydorus	PERSON	5
queen juno	PERSON	5
sleep	ORG	5
telemachus	ORG	5
tenedos	PERSON	5
theban	PERSON	5
achaean argos	PERSON	4
admetus	ORG	4
aeolus	GPE	4
aesopus	PERSON	4
alcinous	ORG	4
amphitrite	ORG	4
antiphus	PERSON	4
arceisius	PERSON	4
arisbe	PERSON	4
axius	PERSON	4
bacchus	GPE	4
buprasium	GPE	4
chiron	ORG	4
clytemnestra	ORG	4
ctesippus	PERSON	4
diocles	PERSON	4
diores	PERSON	4
eupeithes	PERSON	4
eurybates	ORG	4
eurymedon	ORG	4
eurystheus	ORG	4
graces	PERSON	4
hiketaon	ORG	4
hush	PERSON	4
ithaca	PERSON	4
imbrius	ORG	4
lampus	PERSON	4
laodice	ORG	4
leonteus	PERSON	4
lotus-	ORG	4
lycurgus	ORG	4
mulius	GPE	4
mycenae	LOC	4
nausithous	ORG	4
neritum	ORG	4
niobe	ORG	4
orchomenus	GPE	4
orion	PERSON	4
ormenus	GPE	4
peteos	GPE	4
philoctetes	ORG	4
phylacus	GPE	4
pleuron	PERSON	4
polyctor	ORG	4
proteus	ORG	4
pytho	GPE	4
samos	PERSON	4
scheria	GPE	4
selleis	PERSON	4
simoeisius	PERSON	4
socus	PERSON	4
stand	GPE	4
strife	ORG	4
sun	PERSON	4
thoon	PERSON	4
thracians	LOC	4
aeneas	ORG	3
abantes	PERSON	3
abydos	GPE	3
achilles--	ORG	3
aegae	GPE	3
aethe	ORG	3
amphitryon	PERSON	3
anchialus	PERSON	3
astyanax	PERSON	3
atlas	PERSON	3
augeas	GPE	3
bias	PERSON	3
boreas	ORG	3
cassandra	ORG	3
castor	PERSON	3
cnossus	PERSON	3
cos	ORG	3
curetes	LOC	3
cyclopes	GPE	3
cyllene	GPE	3
cythera	GPE	3
dardanians	PERSON	3
earth	LOC	3
echeclus	ORG	3
echetus	ORG	3
echius	ORG	3
enops	ORG	3
